codigo_da_uc;nome_da_uc;indicador_falso_positivo_min_max
0000.00.0266;FLORESTA NACIONAL DO JAMANXIM;1.0
0000.00.0222;RESERVA EXTRATIVISTA CHICO MENDES;0.629778130189651
0000.00.0268;AREA DE PROTECAO AMBIENTAL DO TAPAJOS;0.5971340200409847
0000.00.0083;FLORESTA NACIONAL DE ALTAMIRA;0.4766440646476792
0000.00.0216;RESERVA BIOLOGICA NASCENTES DA SERRA DO CACHIMBO;0.23075244504427964
0000.00.1517;RESERVA EXTRATIVISTA DO ALTO JURUA;0.19675632948555508
0000.00.0047;ESTACAO ECOLOGICA DA TERRA DO MEIO;0.15251663974224364
0000.00.0116;FLORESTA NACIONAL DO BOM FUTURO;0.10738680173759575
0000.00.0096;FLORESTA NACIONAL DE ITAITUBA II;0.10099065917549312
0000.00.0028;AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;0.08177376679880939
0000.00.0260;RESERVA EXTRATIVISTA VERDE PARA SEMPRE;0.08079067698065844
0000.00.0267;PARQUE NACIONAL DO JAMANXIM;0.07437233270848835
0000.00.0271;FLORESTA NACIONAL DO AMANA;0.07333667928853564
0000.00.0287;RESERVA EXTRATIVISTA LAGO DO CEDRO;0.06983162209735312
0000.00.0019;AREA DE PROTECAO AMBIENTAL DELTA DO PARNAIBA;0.052403568094695735
0000.00.0232;RESERVA EXTRATIVISTA DO CAZUMBA IRACEMA;0.05030074084116217
0000.00.0012;AREA DE PROTECAO AMBIENTAL SERRA DA TABATINGA;0.049970405884430705
0000.00.0023;AREA DE PROTECAO AMBIENTAL DO PLANALTO CENTRAL;0.0480135564835142
0000.00.0284;PARQUE NACIONAL DOS CAMPOS AMAZONICOS;0.046082292017596865
0000.00.0149;PARQUE NACIONAL DA SERRA DO DIVISOR;0.045132575570302494
0000.00.0024;AREA DE PROTECAO AMBIENTAL MEANDROS DO ARAGUAIA;0.04380388201115451
0000.00.0109;FLORESTA NACIONAL SARARA TAQUARA;0.04371880421375487
0000.00.1810;RESERVA EXTRATIVISTA RENASCER;0.03854946877362609
0000.00.0112;FLORESTA NACIONAL DE TEFE;0.037456110092762715
0000.00.0257;RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE;0.03156279101644236
0000.00.0207;RESERVA BIOLOGICA DO GURUPI;0.028688189246584
0000.00.0274;RESERVA EXTRATIVISTA ALTO TARAUACA;0.025030142223620433
0000.00.0270;FLORESTA NACIONAL DO CREPORI;0.02386484641055591
0000.00.0106;FLORESTA NACIONAL DE RORAIMA;0.022067386938412793
0000.00.0258;RESERVA EXTRATIVISTA RIOZINHO DO ANFRISIO;0.02066419598173107
0000.00.1633;PARQUE NACIONAL MAPINGUARI;0.019193012261859942
0000.00.3410;PARQUE NACIONAL DO ACARI;0.01884372388732728
0000.00.0265;FLORESTA NACIONAL DO TRAIRAO;0.016904903788930576
0000.00.0144;PARQUE NACIONAL DA SERRA DA CANASTRA;0.016063928669427702
0000.00.0272;PARQUE NACIONAL DA CHAPADA DAS MESAS;0.015263863530821993
0000.00.3408;FLORESTA NACIONAL DE URUPADI;0.014508843123621027
0000.00.0124;FLORESTA NACIONAL DO TAPIRAPEAQUIRI;0.014015517681326943
0000.00.1606;RESERVA EXTRATIVISTA DO MEDIO PURUS;0.013362840558679962
0000.00.0088;FLORESTA NACIONAL DE CARAJAS;0.012507212950612636
0000.00.0256;RESERVA EXTRATIVISTA DO RIO OURO PRETO;0.01186138244223698
0000.00.0117;FLORESTA NACIONAL DO ITACAIUNAS;0.011473954204004483
0000.00.0156;PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA;0.010556095707743077
0000.00.0089;FLORESTA NACIONAL DE CAXIUANA;0.00995814189167804
0000.00.3409;FLORESTA NACIONAL DO ARIPUANA;0.009817242131987992
0000.00.0029;AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA;0.009222586256599207
0000.00.0097;FLORESTA NACIONAL DE JACUNDA;0.009082755720583487
0000.00.0095;FLORESTA NACIONAL DE ITAITUBA I;0.0090115176881412
0000.00.1518;RESERVA EXTRATIVISTA DO RIO CAJARI;0.008272396395321074
0000.00.0004;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU;0.008105870897075087
0000.00.0168;PARQUE NACIONAL DO ARAGUAIA;0.007801275718981548
0000.00.0239;RESERVA EXTRATIVISTA DO RIO JUTAI;0.007734901812468714
0000.00.0264;PARQUE NACIONAL DO RIO NOVO;0.007495262553887589
0000.00.0121;FLORESTA NACIONAL DO PURUS;0.007440755906766717
0000.00.0285;RESERVA EXTRATIVISTA ARAPIXI;0.007406084144025623
0000.00.0151;PARQUE NACIONAL DA SERRA DO PARDO;0.00719426189885164
0000.00.0118;FLORESTA NACIONAL DO JAMARI;0.007163936830295925
0000.00.0027;AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA;0.0065056970829543
0000.00.0107;FLORESTA NACIONAL DE SANTA ROSA DO PURUS;0.006408410815196047
0000.00.0044;AREA DE RELEVANTE INTERESSE ECOLOGICO SERINGAL NOVA ESPERANCA;0.006216392506185012
0000.00.0282;RESERVA EXTRATIVISTA TERRA GRANDE PRACUUBA;0.00600462307618713
0000.00.0235;RESERVA EXTRATIVISTA DO MEDIO JURUA;0.00537633587094905
0000.00.0136;PARQUE NACIONAL DA AMAZONIA;0.005358803079774986
0000.00.0075;ESTACAO ECOLOGICA DA SERRA DAS ARARAS;0.005024772349952989
0000.00.0230;RESERVA EXTRATIVISTA DO BAIXO JURUA;0.004770300276037134
0000.00.0085;FLORESTA NACIONAL DE BALATA TUFARI;0.004510118553014096
0000.00.0163;PARQUE NACIONAL DE PACAAS NOVOS;0.004424790140366249
0000.00.1612;FLORESTA NACIONAL DO IQUIRI;0.00421665376608687
0000.00.0114;FLORESTA NACIONAL DO AMAZONAS;0.004060213649497145
0000.00.0259;RESERVA EXTRATIVISTA TAPAJOS ARAPIUNS;0.003892069749754677
0000.00.3134;RESERVA EXTRATIVISTA MARINHA CUINARANA;0.0034282469868732964
0000.00.1564;RESERVA EXTRATIVISTA CHAPADA LIMPA;0.0031833049562808606
0000.00.0173;PARQUE NACIONAL DO JAU;0.002923883824094681
0000.00.0281;PARQUE NACIONAL DO JURUENA;0.0028218709514150064
0000.00.0126;FLORESTA NACIONAL MAPIA INAUINI;0.002757502016409358
0000.00.0002;AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU;0.0026715028499691286
0000.00.0022;AREA DE PROTECAO AMBIENTAL DO IGARAPE GELADO;0.00252027366195331
0000.00.1628;RESERVA EXTRATIVISTA ITUXI;0.0022921452671066187
0000.00.0180;PARQUE NACIONAL DOS LENCOIS MARANHENSES;0.0021080738930710262
0000.00.0139;PARQUE NACIONAL DA CHAPADA DOS VEADEIROS;0.001884331302841063
0000.00.0146;PARQUE NACIONAL DA SERRA DAS CONFUSOES;0.0017952466273817545
0000.00.0003;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO;0.0016902581769408353
0000.00.0076;ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS;0.0015547437034384335
0000.00.0072;ESTACAO ECOLOGICA JUAMI JAPURA;0.0015079475733235797
0000.00.0099;FLORESTA NACIONAL DE MULATA;0.0013501253343199812
0000.00.0273;RESERVA EXTRATIVISTA ARIOCA PRUANA;0.0011755204289759216
0000.00.1626;PARQUE NACIONAL NASCENTES DO LAGO JARI;0.0009607333357243357
0000.00.0056;ESTACAO ECOLOGICA DE JUTAI SOLIMOES;0.0008334634176373665
0000.00.0020;AREA DE PROTECAO AMBIENTAL CARSTE DA LAGOA SANTA;0.00080027915487792
0000.00.1519;RESERVA EXTRATIVISTA DO CIRIACO;0.00079315888816599
0000.00.0243;RESERVA EXTRATIVISTA MAE GRANDE DE CURUCA;0.0007915828833651702
0000.00.0177;PARQUE NACIONAL DO PICO DA NEBLINA;0.0007067789287017614
0000.00.0280;RESERVA EXTRATIVISTA RIO IRIRI;0.0006362747573105581
0000.00.0210;RESERVA BIOLOGICA DO RIO TROMBETAS;0.0005927871483931536
0000.00.3411;RESERVA BIOLOGICA DO MANICORE;0.0005871335610867711
0000.00.0244;RESERVA EXTRATIVISTA MAPUA;0.0005845448443462398
0000.00.0119;FLORESTA NACIONAL DO JATUARANA;0.0005723836263158077
0000.00.0194;RESERVA BIOLOGICA DO ABUFARI;0.0005265071291396364
0000.00.0123;FLORESTA NACIONAL DO TAPAJOS;0.00041367177091039314
0000.00.0174;PARQUE NACIONAL DO MONTE RORAIMA;0.00033096423807699225
0000.00.0283;RESERVA EXTRATIVISTA RIO UNINI;0.00021031270847197555
0000.00.0157;PARQUE NACIONAL DAS SEMPRE VIVAS;0.00017835819058936768
0000.00.0226;RESERVA EXTRATIVISTA DA MATA GRANDE;0.00017755262897428169
0000.00.0065;ESTACAO ECOLOGICA DE URUCUI UNA;8.423370031740275e-05
0000.00.0240;RESERVA EXTRATIVISTA DO EXTREMO NORTE DO TOCANTINS;0.0
0000.00.3407;AREA DE PROTECAO AMBIENTAL DOS CAMPOS DE MANICORE;
0000.00.0031;AREA DE RELEVANTE INTERESSE ECOLOGICO CAPETINGA TAQUARA;
0000.00.0041;AREA DE RELEVANTE INTERESSE ECOLOGICO MATAO DE COSMOPOLIS;
0000.00.0032;AREA DE RELEVANTE INTERESSE ECOLOGICO CERRADO PE DE GIGANTE;
0000.00.0043;AREA DE RELEVANTE INTERESSE ECOLOGICO PROJETO DINAMICA BIOLOGICA DE FRAGMENTOS FLORESTAIS;
0000.00.0053;ESTACAO ECOLOGICA DE CUNIA;
0000.00.0057;ESTACAO ECOLOGICA DE MARACA;
0000.00.0058;ESTACAO ECOLOGICA DE MARACA JIPIOCA;
0000.00.0060;ESTACAO ECOLOGICA NIQUIA;
0000.00.0067;ESTACAO ECOLOGICA DO JARI;
0000.00.0084;FLORESTA NACIONAL DE ANAUA;
0000.00.0086;FLORESTA NACIONAL DE BRASILIA;
0000.00.0079;FLORESTA NACIONAL DE CAPAO BONITO;
0000.00.0092;FLORESTA NACIONAL DE HUMAITA;
0000.00.0120;FLORESTA NACIONAL DO MACAUA;
0000.00.0103;FLORESTA NACIONAL DE PARAOPEBA;
0000.00.0104;FLORESTA NACIONAL DE PAU ROSA;
0000.00.0108;FLORESTA NACIONAL DE SAO FRANCISCO;
0000.00.0110;FLORESTA NACIONAL DE SILVANIA;
0000.00.0138;PARQUE NACIONAL DA CHAPADA DOS GUIMARAES;
0000.00.0143;PARQUE NACIONAL DA SERRA DA BODOQUENA;
0000.00.0188;PARQUE NACIONAL DA SERRA DA CUTIA;
0000.00.0148;PARQUE NACIONAL DA SERRA DO CIPO;
0000.00.0155;PARQUE NACIONAL DAS EMAS;
0000.00.0049;PARQUE NACIONAL DE ANAVILHANAS;
0000.00.0159;PARQUE NACIONAL DE BRASILIA;
0000.00.0169;PARQUE NACIONAL DO CABO ORANGE;
0000.00.3519;PARQUE NACIONAL DOS CAMPOS FERRUGINOSOS;
0000.00.0183;PARQUE NACIONAL GRANDE SERTAO VEREDAS;
0000.00.0189;PARQUE NACIONAL SERRA DA MOCIDADE;
0000.00.0179;PARQUE NACIONAL DO VIRUA;
0000.00.0219;REFUGIO DA VIDA SILVESTRE DAS VEREDAS DO OESTE BAIANO;
0000.00.0192;RESERVA BIOLOGICA DA CONTAGEM;
0000.00.0206;RESERVA BIOLOGICA DO GUAPORE;
0000.00.0208;RESERVA BIOLOGICA DO JARU;
0000.00.0209;RESERVA BIOLOGICA DO LAGO PIRATUBA;
0000.00.0211;RESERVA BIOLOGICA DO TAPIRAPE;
0000.00.0213;RESERVA BIOLOGICA DO UATUMA;
0000.00.3135;RESERVA DE DESENVOLVIMENTO SUSTENTAVEL NASCENTES GERAIZEIRAS;
0000.00.0274;RESERVA EXTRATIVISTA ALTO TARAUACA;
0000.00.0220;RESERVA EXTRATIVISTA AUATI PARANA;
0000.00.0221;RESERVA EXTRATIVISTA BARREIRO DAS ANTAS;
0000.00.0223;RESERVA EXTRATIVISTA CHOCOARE MATO GROSSO;
0000.00.0242;RESERVA EXTRATIVISTA DO LAGO DO CAPANA GRANDE;
0000.00.0238;RESERVA EXTRATIVISTA DO RIO DO CAUTARIO;
0000.00.0233;RESERVA EXTRATIVISTA DO LAGO DO CUNIA;
0000.00.0227;RESERVA EXTRATIVISTA MARACANA;
0000.00.0247;RESERVA EXTRATIVISTA MARINHA ARAI PEROBA;
0000.00.0248;RESERVA EXTRATIVISTA MARINHA CAETE TAPERACU;
0000.00.0249;RESERVA EXTRATIVISTA MARINHA DE GURUPI PIRIA;
0000.00.0254;RESERVA EXTRATIVISTA MARINHA DE SOURE;
0000.00.0225;RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAIBA;
0000.00.3133;RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO;
0000.00.0250;RESERVA EXTRATIVISTA MARINHA TRACUATEUA;
0000.00.1635;RESERVA EXTRATIVISTA RIO XINGU;
0000.00.0228;RESERVA EXTRATIVISTA DE SAO JOAO DA PONTA;
